metric,n,method,group,n_datasets,mean_before,mean_after,mean_delta,median_delta,win_rate
CRPS,20000,Gamma-GLM-Ridge,baseline,16,7650.447553529043,7612.569219729599,-37.878333799445016,-1.0668324108403677,0.875
CRPS,20000,LinGauss-Hetero-Ridge,baseline,16,39905.103074268874,38981.51234199342,-923.5907322754488,-0.445702040003757,0.9375
CRPS,20000,LinGauss-Homo-Ridge,baseline,16,5065.578107890149,4720.654443797144,-344.9236640930048,-0.1966875123527867,0.875
CRPS,20000,LinearGauss-Hetero,baseline,16,36483.138920250385,36149.653023735205,-333.4858965151825,-0.1454306118049722,0.875
CRPS,20000,LinearGauss-Homo,baseline,16,5064.189522198515,4719.904102869323,-344.2854193291922,-0.19582838610822506,0.875
CRPS,20000,LogNormal-Hetero,baseline,16,4459.502466195491,4441.335894174149,-18.166572021341953,-0.12405321151550641,0.75
CRPS,20000,LogNormal-Hetero-Ridge,baseline,16,4460.75372290146,4443.725233500399,-17.02848940106119,-0.12214919759138443,0.75
CRPS,20000,LogNormal-Homo,baseline,16,4622.5439281156105,4600.62343896871,-21.920489146900188,-0.892891258242348,0.875
CRPS,20000,LogNormal-Homo-Ridge,baseline,16,4625.938241471317,4604.125775731066,-21.812465740251326,-0.8954125192131768,0.875
CRPS,20000,MDN,baseline,16,3387.7411032173936,3385.8494273863084,-1.8916758310851403,0.006218247543240185,0.375
CRPS,20000,Student-t,baseline,16,4931.2070518556675,4784.838596296912,-146.36845555875485,-0.14720341896082845,0.875
CRPS,20000,Student-t-Ridge,baseline,16,4931.872878278931,4784.6652757175925,-147.20760256133823,-0.14721601932385697,0.875
CRPS,20000,RealTabPFN-2.5,foundation,15,2798.812653898656,2777.0810246543615,-21.7316292442944,-0.0026206969977959904,0.5333333333333333
CRPS,20000,TabICL-Quantiles,foundation,16,2618.451468921697,2616.9248248831873,-1.526644038509658,0.004715528804589253,0.25
CRPS,20000,TabPFN-2.5,foundation,15,2776.947776779896,2754.81874502859,-22.12903175130618,2.1819957514816746e-06,0.4666666666666667
PIT_KS,500,BART-Hetero,baseline,39,0.34525837592681546,0.12645733170074416,-0.21880104422607127,-0.1808815200415438,1.0
PIT_KS,500,BART-Homo,baseline,39,0.25486971844831935,0.1051272486705595,-0.14974246977775982,-0.14126863454895688,0.9743589743589743
PIT_KS,500,CatMLP,baseline,39,0.12844027165927122,0.06405310565668362,-0.06438716600258758,-0.054940665300859615,1.0
PIT_KS,500,FlexCode-RF,baseline,39,0.174051583449653,0.06790042507115158,-0.10615115837850143,-0.11174002218160806,0.9743589743589743
PIT_KS,500,Flow-Spline,baseline,39,0.11558108218398025,0.055690737249391165,-0.059890344934589064,-0.04767897737845382,1.0
PIT_KS,500,Gamma-GLM,baseline,37,0.1756656800011323,0.08480846813996393,-0.09085721186116838,-0.06423076343711032,0.972972972972973
PIT_KS,500,Gamma-GLM-Ridge,baseline,39,0.1531640322167462,0.07395304719515258,-0.07921098502159363,-0.06555052187978871,0.9743589743589743
PIT_KS,500,LinGauss-Hetero-Ridge,baseline,39,0.22465264889321104,0.15606175418754753,-0.0685908947056635,-0.055490691100503864,0.9230769230769231
PIT_KS,500,LinGauss-Homo-Ridge,baseline,39,0.19568688694919967,0.09179608803848592,-0.10389079891071375,-0.08579466482802965,0.9230769230769231
PIT_KS,500,LinearGauss-Hetero,baseline,37,0.211677057780473,0.14366811205601693,-0.06800894572445607,-0.047522459175832366,0.918918918918919
PIT_KS,500,LinearGauss-Homo,baseline,37,0.20252504455393844,0.0926987626476913,-0.10982628190624716,-0.09402738772538542,0.8918918918918919
PIT_KS,500,LogNormal-Hetero,baseline,37,0.13721436651395913,0.08265856260562199,-0.054555803908337135,-0.04300120043231154,0.972972972972973
PIT_KS,500,LogNormal-Hetero-Ridge,baseline,39,0.15101895792173992,0.09038656654479657,-0.06063239137694335,-0.05242087998983726,1.0
PIT_KS,500,LogNormal-Homo,baseline,37,0.16077425050689267,0.07069393169247173,-0.09008031881442097,-0.06559191974738432,0.9459459459459459
PIT_KS,500,LogNormal-Homo-Ridge,baseline,39,0.15544829182970007,0.06887622521842268,-0.08657206661127737,-0.06956973979519021,1.0
PIT_KS,500,MDN,baseline,39,0.11574785945645676,0.06171325859793985,-0.054034600858516905,-0.04516992502221895,0.9743589743589743
PIT_KS,500,Quantile-Tree,baseline,39,0.1268641514794893,0.06899849902318302,-0.05786565245630627,-0.04996366430687948,0.9743589743589743
PIT_KS,500,Student-t,baseline,37,0.1791068093353517,0.08883702868730425,-0.09026978064804747,-0.09616748118753757,0.9459459459459459
PIT_KS,500,Student-t-Ridge,baseline,39,0.15615286221124292,0.07020132382578133,-0.08595153838546157,-0.08696409480060785,0.9743589743589743
PIT_KS,500,RealTabPFN-2.5,foundation,39,0.1169070404922043,0.07488405537800527,-0.042022985114199045,-0.03863116551187944,0.9487179487179487
PIT_KS,500,TabICL-Quantiles,foundation,39,0.10914034840074983,0.07503408244306173,-0.03410626595768812,-0.03416521472371836,0.8717948717948718
PIT_KS,500,TabPFN-2.5,foundation,39,0.11940900590482599,0.07586015604922008,-0.04354884985560591,-0.03447108920845393,0.9487179487179487
PIT_KS,1000,BART-Hetero,baseline,39,0.3592666212055426,0.1281184327266966,-0.23114818847884594,-0.22728683780565434,1.0
PIT_KS,1000,BART-Homo,baseline,39,0.26292995921380785,0.1127312698635901,-0.15019868935021774,-0.1202745132300897,1.0
PIT_KS,1000,CatMLP,baseline,39,0.10119359048866593,0.04720294075027652,-0.05399064973838941,-0.05076495105547041,0.9743589743589743
PIT_KS,1000,FlexCode-RF,baseline,39,0.1687784984399118,0.051157188255784365,-0.11762131018412744,-0.0886928200684432,0.9743589743589743
PIT_KS,1000,Flow-Spline,baseline,39,0.10080486576127735,0.04368339379421718,-0.05712147196706017,-0.05036149880821955,0.9743589743589743
PIT_KS,1000,Gamma-GLM,baseline,39,0.16336360102048766,0.06635050348551852,-0.09701309753496913,-0.07225917110559399,0.9743589743589743
PIT_KS,1000,Gamma-GLM-Ridge,baseline,39,0.15629973798172753,0.06427106677364064,-0.09202867120808689,-0.06925444092649448,0.9487179487179487
